timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712861013712,5460,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-852,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5460
1712861013917,5256,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1057,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5255
1712861013960,5268,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1100,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5268
1712861013882,5346,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1020,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5346
1712861013800,5428,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-940,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5428
1712861014005,5223,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1145,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5223
1712861013790,5439,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-929,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5439
1712861013843,5387,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-983,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5387
1712861013919,5311,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1059,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5311
1712861013912,5318,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1050,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5318
